mean,std,variance,min,max,median,q25,q75,entropy,autocorr_lag1,hurst_exponent,sample_id,class_label,text_length,num_tokens
8648.411,69409.38,4817662500.0,1.0003517,901323.4,19.25957,3.4639075,405.94678,0.15689127163294372,-0.015511231947403155,0.4945413854008272,106,ai_mimic,133,175
5759.083,27930.521,780114000.0,1.0008578,257517.81,31.05772,3.9418647,382.05246,0.33319670077272046,-0.03298075435198347,0.5506156370747952,107,ai_mimic,135,176
18166.105,200544.11,40217940000.0,1.0003444,2983254.8,45.089344,4.5337043,1138.1779,0.057423075150714625,0.032820582429148884,0.5043829751307081,108,ai_mimic,166,223
3720.3093,23106.08,533890900.0,1.0363202,282430.44,30.451206,4.5263596,332.67236,0.2551926391627096,-0.024820334827984774,0.5318550362298536,109,ai_mimic,136,174
2662.014,15069.541,227091070.0,1.0020686,166046.53,15.590393,3.0206482,316.52252,0.2138318404907247,-0.011062059392179484,0.5141264219415286,110,ai_mimic,142,172
8684.616,63456.223,4026692000.0,1.0053881,757598.3,41.020172,5.254197,574.13544,0.1455229763324204,-0.014200892794451359,0.48171170039096045,111,ai_mimic,133,168
6513.944,34187.934,1168814700.0,1.0002267,371424.16,20.748444,3.1647642,206.59662,0.31977660197135466,-0.03400304569432584,0.49216082856553844,112,ai_mimic,156,196
14609.67,123268.65,15195160000.0,1.0010017,1645622.2,33.312164,4.0937953,1045.6318,0.15344312650537012,-0.01285760521791426,0.49522956017239494,113,ai_mimic,136,184
2278.7388,10235.864,104772920.0,1.0005372,94822.65,20.59335,4.1863036,402.1497,0.3671407622707164,-0.035830299421849614,0.5145107703782569,114,ai_mimic,158,199
10703.019,84017.27,7058902500.0,1.0004984,1049470.4,34.481346,3.8410578,438.0207,0.1308738905591623,-0.014982808031904167,0.5065561988013013,115,ai_mimic,153,178
31639.271,423284.22,179169530000.0,1.0013704,6191648.5,40.022278,3.8917432,808.49243,0.029854173300320634,-0.004538909988083214,0.49946721897332313,116,ai_mimic,149,213
4318.4937,24720.154,611086000.0,1.0001509,239752.52,22.042633,3.1333468,445.54675,0.24031634580122757,-0.022652924003933813,0.5231121149002689,117,ai_mimic,170,212
12581.79,108720.49,11820146000.0,1.0176831,1366193.1,45.145927,4.9659176,599.047,0.16622967736143812,-0.0114227345617869,0.5007279087494748,118,ai_mimic,132,163
41276.67,491227.7,241304630000.0,1.0021169,6404431.0,31.088253,4.986084,523.9311,0.03625404900740772,-0.006103906600882982,0.49996099014865336,119,ai_mimic,139,169
8881.406,72534.52,5261256700.0,1.0095186,922922.94,37.10063,4.388054,415.87274,0.09597587314899197,-0.007083165859848254,0.5169601134063672,120,ai_mimic,149,196
2013.6997,5792.3604,33551436.0,1.0185273,48616.883,51.42715,5.4412007,1125.1578,0.7193762894442944,-0.08447904220450657,0.4560962643593533,121,ai_mimic,132,161
10140.617,65699.86,4316472000.0,1.0042564,682623.44,54.644447,4.702611,457.35696,0.1945892149124227,-0.021528251687412497,0.538095142828799,122,ai_mimic,134,184
8891.211,75486.12,5698154000.0,1.0103387,1066421.2,26.136333,4.7770696,567.51227,0.12071472117036589,-0.002693411892995869,0.49367673974653503,123,ai_mimic,160,210
35523.543,291910.94,85211990000.0,1.0001684,3299115.0,23.394459,5.456892,915.8467,0.11198447233679214,-0.012184254253140472,0.5488895597727362,124,ai_mimic,131,163
1732.6127,9663.843,93389864.0,1.0006775,104202.11,30.194952,4.6109524,198.19955,0.21085370161858996,0.06342256500260052,0.527221818451943,125,ai_mimic,139,167
